country,population ,density ,land_area ,medium_age,urban_population
China,1438207241,153,9388211,38,61 %
India,1377233523,464,2973190,28,35 %
United States,330610570,36,9147420,38,83 %
Indonesia,272931713,151,1811570,30,56 %
Pakistan,219992900,287,770880,23,35 %
Brazil,212253150,25,8358140,33,88 %
Nigeria,205052107,226,910770,18,52 %
Bangladesh,164354176,1265,130170,28,39 %
Russia,145922010,9,16376870,40,74 %
Mexico,128655589,66,1943950,29,84 %
Japan,126552765,347,364555,48,92 %
Ethiopia,114357494,115,1000000,19,21 %
Philippines,109280343,368,298170,26,47 %
Egypt,101930276,103,995450,25,43 %
Vietnam,97160127,314,310070,32,38 %
DR Congo,88972681,40,2267050,17,46 %
Turkey,84153250,110,769630,32,76 %
Iran,83771587,52,1628550,32,76 %
Germany,83730223,240,348560,46,76 %
Thailand,69764925,137,510890,40,51 %
United Kingdom,67814098,281,241930,40,83 %
France,65244628,119,547557,42,82 %
Italy,60479424,206,294140,47,69 %
Tanzania,59368313,67,885800,18,37 %
South Africa,59154802,49,1213090,28,67 %
Myanmar,54335948,83,653290,29,31 %
Kenya,53521116,94,569140,20,28 %
South Korea,51260395,527,97230,44,82 %
Colombia,50771878,46,1109500,31,80 %
Spain,46751175,94,498800,45,80 %
Uganda,45427637,229,199810,17,26 %
Argentina,45111229,17,2736690,32,93 %
Algeria,43685618,18,2381740,29,73 %
Sudan,43632213,25,1765048,20,35 %
Ukraine,43785122,75,579320,41,69 %
Iraq,40031626,93,434320,21,73 %
Afghanistan,38742911,60,652860,18,25 %
Poland,37854825,124,306230,42,60 %
Canada,37674770,4,9093510,41,81 %
Morocco,36820713,83,446300,30,64 %
Saudi Arabia,34701377,16,2149690,32,84 %
Uzbekistan,33368859,79,425400,28,50 %
Peru,32876986,26,1280000,31,79 %
Angola,32644783,26,1246700,17,67 %
Malaysia,32280610,99,328550,30,78 %
Mozambique,31067362,40,786380,18,38 %
Ghana,30936375,137,227540,22,57 %
Yemen,29687214,56,527970,20,38 %
Nepal,29027347,203,143350,25,21 %
Venezuela,28451828,32,882050,30,N.A.
Madagascar,27539106,48,581795,20,39 %
Cameroon,26405174,56,472710,19,56 %
Côte d'Ivoire,26239250,83,318000,19,51 %
North Korea,25756088,214,120410,35,63 %
Australia,25439164,3,7682300,38,86 %
Niger,24014064,19,1266700,15,17 %
Taiwan,23808164,673,35410,42,79 %
Sri Lanka,21395196,341,62710,34,18 %
Burkina Faso,20780371,76,273600,18,31 %
Mali,20125282,17,1220190,16,44 %
Romania,19262731,84,230170,43,55 %
Malawi,19024426,203,94280,18,18 %
Chile,19082804,26,743532,35,85 %
Kazakhstan,18730568,7,2699700,31,58 %
Zambia,18273379,25,743390,18,45 %
Guatemala,17846248,167,107160,23,52 %
Ecuador,17587526,71,248360,28,63 %
Syria,17410293,95,183630,26,60 %
Netherlands,17127290,508,33720,43,92 %
Senegal,16649599,87,192530,19,49 %
Cambodia,16671185,95,176520,26,24 %
Chad,16324440,13,1259200,17,23 %
Somalia,15798020,25,627340,17,47 %
Zimbabwe,14818157,38,386850,19,38 %
Guinea,13056478,53,245720,18,39 %
Rwanda,12883878,525,24670,20,18 %
Benin,12055347,108,112760,19,48 %
Burundi,11814346,463,25680,17,14 %
Tunisia,11793319,76,155360,33,70 %
